Grade,Customer,Part_aplication,Qty-Product,Injection(Ton),Resin_plastic,Texture-Product,Cavity.Material,Core.Material,Slide-System,Lift-Core-System,Mold-Design.Type,HOT-RUNNER,Mold/Base_Order-Company,Weight(KG),Price-Rp,Status
2,AUTOPLASTIK,Car,2,80,TPO,NO,P20,S50C,NO,YES,2P SIDE GATE,NOTYET,GAYA,327,186200000,Murah
3,AUTOPLASTIK,Car,2,850,TPO,NO,S55C,S55C,YES,YES,2P HR VALVE 2P,YUDO,BUMHAN(KOREA),8300,1110200000,Murah
3,AUTOPLASTIK,Car,2,650,TPO,NO,S55C,S55C,YES,YES,2P HR VALVE 2P,YUDO,BUMHAN(KOREA),3700,830200000,Mahal
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,YES,YES,3P PIN GATE,NOTYET,GAYA,568,317800000,Mahal
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,GAYA,544,317800000,Mahal
2,YEMI,Speaker,1,50,PP,NO,HP4M ,HP4,NO,NO,"3P
PIN ",NOTYET,SURYAMAS,502,249900000,Mahal
2,YEMI,Speaker,2,125,ABS,YES,HP4M,HP4,NO,NO,3P PIN GATE,NOTYET,GAYA,80,155680000,Murah
2,YEMI,Speaker,1,350,PP,YES,HP4M,HP4,NO,NO,3P PIN GATE,NOTYET,SURYAMAS,526,225652000,Murah
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,NO,NO,2P SIDE,NOTYET,GAYA,475,180600000,Murah
3,EPSON,Printer,1,260,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,606,343000000,Mahal
3,EPSON,Printer,1,450,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,SURYAMAS,1462,453600000,Mahal
2,EPSON,Printer,1,80,ABS,YES,NAK80,NAK80,NO,NO,2P SIDE GATE,NOTYET,GAYA,64,144200000,Mahal
3,EPSON,Printer,1,80,ABS,YES,NAK80,HP4M,YES,NO,2P SIDE GATE,NOTYET,GAYA,316,204400000,Mahal
3,EPSON,Printer,1,80,ABS,YES,NAK80,HP4M,YES,NO,2P SIDE GATE,NOTYET,GAYA,316,204400000,Mahal
3,EPSON,Printer,1,550,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,1634,614600000,Mahal
3,EPSON,Printer,2,120,ABS,YES,NAK80,HP4M,NO,NO,2P SIDE GATE,NOTYET,GAYA,234,165200000,Murah
3,EPSON,Printer,1,850,ABS,YES,NAK80,HP4M,YES,YES,"3P
PIN",NOTYET,BUMHAN(KOREA),2158,911400000,Mahal
3,EPSON,Printer,2,350,ABS,YES,NAK80,HP4M,YES,YES,2P SIDE GATE,NOTYET,BUMHAN(KOREA),1182,558600000,Murah
3,EPSON,Printer,1,80,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,338,198800000,Murah
4,EPSON,Printer,1,550,ABS,YES,NAK80,HP4M,YES,YES,2P SIDE GATE,NOTYET,SURYAMAS,2800,977200000,Mahal
4,EPSON,Printer,1,450,ABS,YES,NAK80,HP4M,YES,YES,2P SIDE,NOTYET,BUMHAN(KOREA),1664,613200000,Murah
3,EPSON,Printer,1,450,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,1080,358400000,Murah
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,YES,NO,"3P
PIN",NOTYET,GAYA,446,295400000,Mahal
2,EPSON,Printer,1,80,ABS,YES,NAK80,HP4M,YES,NO,"3P
PIN",NOTYET,GAYA,290,166600000,Mahal
3,EPSON,Printer,1,260,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,1176,323400000,Mahal
3,EPSON,Printer,1,260,HIPS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,1464,389200000,Mahal
2,EPSON,Printer,1,80,HIPS,YES,NAK80,HP4M,NO,NO,2P SIDE,NOTYET,GAYA,296,175000000,Mahal
2,EPSON,Printer,1,180,PP,YES,NAK80,HP4M,NO,NO,2P SIDE,NOTYET,GAYA,536,247800000,Mahal
2,EPSON,Printer,4,180,HIPS,NO,NAK80,HP4M,YES,NO,2P SUBMARINE,NOTYET,GAYA,398,329000000,Mahal
3,EPSON,Printer,2,350,HIPS,NO,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,BUMHAN(KOREA),893,516600000,Murah
3,EPSON,Printer,2,350,HIPS,NO,NAK80,HP4M,YES,YES,3P PIN GATE,NOTYET,BUMHAN(KOREA),892,445200000,Murah
1,EPSON,Printer,4,120,HIPS,NO,NAK80,HP4M,NO,NO,2P SIDE GATE,NOTYET,SURYAMAS,892,152600000,Murah
2,EPSON,Printer,4,50,POM,NO,SKD61,SKD61,YES,NO,3P PIN GATE,NOTYET,SURYAMAS,204,131600000,Mahal
2,AUTOPLASTIK,Car,2,60,PA66,NO,SKD61,SKD61,YES,NO,3P PIN GATE,NOTYET,SURYAMAS,152,197400000,Mahal
2,AUTOPLASTIK,Car,2,60,PA66,NO,SKD61,SKD61,YES,NO,3P PIN GATE,NOTYET,SURYAMAS,152,196000000,Mahal
3,TENMA,Car,2,650,PP-TD20,NO,HP4M,HP4M,YES,NO,2P HR,YUDO,BUMHAN(KOREA),5200,1099000000,Mahal
2,TENMA,Car,2,350,PP-TD20,NO,HP4M,HP4M,YES,NO,2P SIDE GATE,NOTYET,GAYA,616,327600000,Mahal
3,EPSON,Printer,1,350,PSHI,NO,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,BUMHAN(KOREA),664,350000000,Mahal
3,EPSON,Printer,2,180,ABS,NO,NAK80,HP4M,NO,NO,2P SIDE GATE,NOTYET,GAYA,600,214200000,Murah
3,EPSON,Printer,1,180,HIPS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,308,224000000,Mahal
4,EPSON,Printer,1,650,HIPS,NO,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,BUMHAN(KOREA),3930,938000000,Murah
2,SMI,TV-Monitor,8,100,PC (SR1000U)/??,NO,CENA-G,CENA-G,YES,NO,2P SIDE TUNNEL,NOTYET,GAYA,172,135156000,Murah
2,SMI,TV-Monitor,8,100,PC (SR1000U)/??,NO,CENA-G,CENA-G,YES,NO,2P SIDE TUNNEL,NOTYET,GAYA,172,135800000,Murah
2,SMI,TV-Monitor,8,100,PC (SR1000U)/??,NO,CENA-G,CENA-G,YES,NO,2P SIDE TUNNEL,NOTYET,GAYA,172,135800000,Murah
2,SMI,TV-Monitor,8,100,PC (SR1000U)/??,NO,CENA-G,CENA-G,YES,NO,2P SIDE TUNNEL,NOTYET,GAYA,172,135800000,Murah
5,ICHIKOH,Car,2,550,ABS,YES,2738,2738,YES,NO,2P H/R,YUDO,BUMHAN(KOREA),4080,680554000,Murah
5,ICHIKOH,Car,2,850,ABS-2A,YES,HPM7,2738,YES,YES,4P H/R,YUDO,BUMHAN(KOREA),5950,1944432000,Murah
1,YAMAHA,Piano,2,180,ABS,NO,NAK80,HP4M,NO,NO,2P SIDE GATE,NOTYET,GAYA,276,137200000,Murah
4,AUTOPLASTIK,Car,1,650,PP-TD20,NO,HP4M,HP4M,YES,YES,2P HR VALVE 2P,YUDO,BUMHAN(KOREA),2200,952770000,Mahal
5,AUTOPLASTIK,Car,1,650,PP-TD20,NO,HP4M,HP4M,YES,NO,2P HR VALVE 2P,YUDO,BUMHAN(KOREA),4300,1050000000,Mahal
4,AUTOPLASTIK,Car,1,650,PP-TD20,NO,HP4M,HP4M,YES,YES,2P HR VALVE 2P,YUDO,BUMHAN(KOREA),2300,1127770000,Mahal
5,AUTOPLASTIK,Car,1,650,PP-TD20,NO,HP4M,HP4M,YES,NO,2P HR VALVE 2P,YUDO,BUMHAN(KOREA),4400,1020600000,Mahal
3,TENMA,Camera,1,50,PC,YES,STAVAX,STAVAX,YES,YES,"3P
PIN",NOTYET,GAYA,104,222600000,Mahal
2,SUGITY,Car,4,170,PP TSOP-7,YES,S55C,S55C,NO,NO,2P SIDE,NOTYET,GAYA,518,308000000,Mahal
2,SUGITY,Car,2,80,PP TSOP-7,YES,S55C,S55C,NO,NO,2P SIDE,NOTYET,GAYA,150,127400000,Murah
1,TENMA,Camera,1,30,PC+ABS,YES,HP4M,HP4M,NO,NO,2P SUBMARINE,NOTYET,GAYA,60,120400000,Mahal
2,TENMA,Camera,1,75,PC+SUS S1030R,YES,STAVAX,STAVAX,YES,NO,"3P
PIN",NOTYET,SURYAMAS,190,212800000,Mahal
2,TENMA,Camera,1,50,PC+SUS S1030R,YES,STAVAX,STAVAX,NO,NO,2P SIDE GATE,NOTYET,GAYA,60,135800000,Mahal
1,TENMA,Camera,1,50,PC MAKROLON 2405,YES,NAK80,NAK80,NO,NO,"3P
PIN",NOTYET,GAYA,70,91000000,Murah
2,IKPI,WaterMeter,4,100,PS,NO,SKD61,SKD61,NO,NO,"3P
PIN",NOTYET,SURYAMAS,314,267400000,Mahal
3,IKPI,WaterMeter,4,50,POM,NO,SKD61,SKD61,NO,NO,"3P
PIN",NOTYET,SURYAMAS,80,168000000,Murah
2,IKPI,WaterMeter,8,30,ABS,NO,SKD61,SKD61,NO,NO,"2P
TUNNEL",NOTYET,GAYA,60,140000000,Mahal
2,IKPI,WaterMeter,8,30,POM,NO,SKD61,SKD61,NO,NO,"2P
SUBMARINE",NOTYET,GAYA,60,91000000,Murah
4,LGEIN,TV-Monitor,4,650,PC+ABS GF20%,YES,CENA-G,CENA-G,YES,NO,"2P
H/R VALVE",YUDO,BUMHAN(KOREA),5856,860342000,Murah
3,EDC,MotorCycle,2,250,PP,NO,PX4,PX4,NO,NO,"2P
H/R VALVE-2DROP",YUDO,SURYAMAS,830,319200000,Mahal
3,IKPI,WaterMeter,2,100,PPO-GF30,NO,SKD61,SKD61,YES,NO,2P H/R 6ZONE,YUDO,GAYA,438,574000000,Mahal
3,IKPI,WaterMeter,4,180,ABS,YES,NAK80,NAK80,NO,YES,"3P
PIN",NOTYET,GAYA,636,378000000,Mahal
2,IKPI,WaterMeter,4,180,ABS,YES,NAK80,NAK80,NO,NO,2P SUBMARINE,NOTYET,GAYA,520,231000000,Mahal
3,AUTOPLASTIK,Car,1,80,HPP-IN2,YES,P20,S55C,YES,NO,2P SIDE GATE,NOTYET,GAYA,554,271600000,Mahal
3,INOAC,Car,1,170,ABS,NO,HP4M,HP4M,YES,YES,2P SIDE,NOTYET,GAYA,1012,345100000,Mahal
4,LGEIN,TV-Monitor,4,850,ABS,YES,CENA-G,HP4M,NO,NO,"2P
H/R",YUDO,BUMHAN(KOREA),1176,532000000,Murah
4,LGEIN,TV-Monitor,2,850,PC+ABS GF20,YES,CENA-G,CENA-G,YES,NO,HR/ VALVE 2P,YUDO,BUMHAN(KOREA),5150,1182020000,Mahal
4,LGEIN,TV-Monitor,4,850,PC+ABS GF20,YES,CENA-G,HP4,YES,NO,2P-H/R,HOTPLUS,BUMHAN(KOREA),3324,709800000,Murah
3,EPSON,Printer,2,50,POM,NO,SKD61,SKD61,NO,NO,3P PIN GATE,NOTYET,GAYA,114,109200000,Murah
3,EPSON,Printer,2,120,ABS,YES,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,GAYA,674,285600000,Mahal
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,YES,YES,2P SIDE GATE,NOTYET,GAYA,406,246400000,Mahal
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,YES,YES,3P PIN GATE,NOTYET,GAYA,584,264600000,Mahal
2,LGEIN,TV-Monitor,4,250,ABS,YES,HP4M,HP4M,YES,NO,2P SIDE GATE,NOTYET,GAYA,358,204162000,Mahal
2,EPSON,Printer,1,350,ABS,NO,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,GAYA,526,296800000,Mahal
2,LGEIN,TV-Monitor,2,550,PC ABS,YES,HP4M,HP4M,YES,YES,2P SIDE GATE,NOTYET,BUMHAN(KOREA),1004,326200000,Murah
3,LGEIN,TV-Monitor,2,650,PC ABS,YES,CENA-G,CENA-G,YES,NO,2P-H/R,HOTSYS,BUMHAN(KOREA),2368,533400000,Murah
3,YAMAHA,Piano,2,50,ABS,NO,NAK80,HP4M,NO,NO,2P SIDE GATE,NOTYET,GAYA,205,224000000,Mahal
3,YAMAHA,Piano,1,180,ABS,NO,NAK80,PXA30,NO,NO,"3P
PIN",NOTYET,GAYA,542,263200000,Mahal
3,LGEIN,TV-Monitor,2,250,PC+ABS,YES,HP4M,HP4M,YES,YES,2P SIDE GATE,NOTYET,GAYA,558,263200000,Murah
3,LGEIN,TV-Monitor,2,350,PC+ABS,YES,HP4M,HP4M,NO,YES,"H/R
VV 2P",HOTSYS,BUMHAN(KOREA),1712,431200000,Mahal
3,LGEIN,TV-Monitor,2,350,PC+ABS,YES,HP4M,HP4M,YES,YES,2P SIDE GATE,NOTYET,GAYA,780,295400000,Murah
5,LGEIN,TV-Monitor,1,1800,PC+ABS,YES,HP4M,HP4M,YES,YES,HR/ VALVE 10P,YUDO,BUMHAN(KOREA),13200,2365734000,Mahal
2,LGEIN,TV-Monitor,2,150,PC+ABS,YES,HP4M,HP4M,NO,NO,2P SIDE GATE,NOTYET,GAYA,142,89600000,Murah
3,LGEIN,TV-Monitor,2,550,PC+ABS,YES,HP4M,HP4M ,YES,YES,HR/ VALVE 2P,HOTSYS,BUMHAN(KOREA),2248,649600000,Mahal
3,TENMA,Camera,1,100,PC,YES,NAK80,NAK80,YES,YES,"3P
PIN",NOTYET,GAYA,256,224000000,Mahal
2,TENMA,Camera,1,100,PC,YES,NAK80,NAK80,NO,NO,2P SUBMARINE,NOTYET,GAYA,60,130200000,Mahal
2,EPSON,Printer,1,50,POM,NO,SKD61,SKD61,NO,NO,3P PIN GATE,NOTYET,GAYA,170,109200000,Murah
2,EPSON,Printer,1,50,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,205,124600000,Murah
2,EPSON,Printer,1,50,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,104,110600000,Murah
3,EPSON,Printer,2,120,ABS,YES,NAK80,HP4M,YES,YES,2P SIDE GATE,NOTYET,GAYA,454,330400000,Mahal
3,EPSON,Printer,1,180,ABS,NO,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,GAYA,560,308000000,Mahal
3,EPSON,Printer,1,180,HIPS,NO,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,GAYA,201,350000000,Mahal
3,EPSON,Printer,1,120,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,SURYAMAS,170,168000000,Murah
3,EPSON,Printer,1,120,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,SURYAMAS,268,196000000,Mahal
3,EPSON,Printer,1,250,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,SURYAMAS,704,434000000,Mahal
3,EPSON,Printer,1,120,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,190,257600000,Mahal
